GeneID	GSM1275862	GSM1275863	GSM1275864	GSM1275865	GSM1275866	GSM1275867	GSM1275868	GSM1275869	GSM1275870	GSM1275871	GSM1275872	GSM1275873	GSM1275874	GSM1275875	GSM1275876	GSM1275877
100287102	0.173	0.2522	0.2338	0.09009	0.1162	0.155	0.1796	0.1573	0.132	0.1522	0.08583	0.2115	0.0387	0.01617	0.04624	0.04208
653635	9.613	8.598	9.581	7.993	10.18	6.194	7.975	9.275	7.539	7.376	8.095	6.991	6.704	5.754	7.924	6.7
102466751	8.406	8.426	8.521	7.296	8.466	5.647	7.537	8.189	4.81	5.086	9.383	4.624	4.701	3.536	6.74	3.067
107985730	0.08854	0.09682	0.1795	0.09221	0.214	0.09517	0.1003	0.207	0.06755	0.05844	0.06589	0.06493	0.1188	0.04966	0.07099	0.06461
100302278	0	0	0.3499	0	0	0	0.1955	0.269	0	0	0.2569	0	0	0	0	0.2519
645520	0.2951	0.09219	0.1709	0.1756	0.2038	0.04531	0.07161	0.1971	0.06432	0.05565	0.09411	0.1855	0.1697	0.07093	0.2704	0.09228
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.2336	0.2342	0.296	0.2534	0.3607	0.2145	0.259	0.3641	0.2005	0.1735	0.1811	0.1927	0.3723	0.1911	0.359	0.2131
729737	0.4351	0.3616	0.4058	0.3625	0.8273	0.5799	0.6751	0.8273	0.2855	0.3216	0.3885	0.2744	0.4555	0.3416	0.5512	0.4318
102725121	0.2371	0.3241	0.2704	0.1544	0.1672	0.239	0.2518	0.2541	0.1583	0.2348	0.1985	0.2609	0.03978	0.01662	0.02377	0.06489
102723897	10.22	9.761	11.13	9.071	10.94	6.832	7.888	9.908	9.348	9.087	9.561	9.026	6.934	5.901	8.198	7.066
102465909	9.807	7.66	9.232	8.025	6.209	4.518	6.743	6.005	3.741	4.161	5.734	5.137	3.29	4.714	6.178	3.578
107985721	0.03521	0.0385	0.1071	0.01833	0.05673	0.01892	0.04984	0.08231	0.05372	0.02324	0.0524	0.01291	0.03544	0.009873	0.02823	0.02569
112268260	0.1517	0.1185	0.1904	0.1053	0.1222	0.05048	0.06955	0.1126	0.1654	0.1383	0.1075	0.1802	0.09212	0.04457	0.06372	0.04745
729759	0	0	0	0	0	0	0	0	0	0	0	0	0.03404	0	0	0
100132287	0.9265	0.7271	0.8729	0.806	1.396	0.7908	1.062	1.274	0.7817	0.7266	0.7544	0.4956	0.8119	0.593	0.9264	0.8431
