"symbol","log2FC","pvalue","padj"
"1/2-SBSRNA4",-0.048118300031882,0.625873450523752,0.806234052655216
"A1BG",0.227662077485123,0.520029111900306,0.732867712884014
"A1BG-AS1",0.346025811744977,0.0898305440024798,0.333671022963339
"A1CF",-0.0027703210301866,0.51800787545395,0.731462993555944
"A2LD1",0.04315418536245,0.557119814244068,0.759367826484726
"A2M",0.561943785238444,0.631122224553879,0.809270369460218
"A2ML1",-0.0178437614915738,0.176481606863168,0.470666055685304
"A2MP1",-0.0231170923189036,0.18239017148346,0.474313985989512
"A4GALT",0.50147660849039,0.0207355729198986,0.162124953713892
"A4GNT",-0.0532610257834341,0.716547513487661,0.861184096787478
"AAAS",-0.00765179629018764,0.940601091997519,0.974917295183516
"AACS",-0.12762049746278,0.154961023101335,0.44129038099387
"AADAC",0.0192189469427809,0.465664786095497,0.690397425463831
"AADACL2",-0.0278238097313925,0.0344372832317069,0.205544890148954
"AADACL4",0.280752211586356,0.13716765980322,0.416960871592744
"AADAT",-0.403486946373177,0.125496600291531,0.397612299056025
"AAGAB",-0.160559007616566,0.21622215216207,0.50695078950257
"AAK1",-0.0654768705750235,0.16253859445413,0.452676274666318
"AAMP",0.286370500789274,0.0211229607624062,0.16354725874765
"AANAT",0.0230996805084964,0.39495673638463,0.635659562310468
"AARS",-0.559091273544813,0.0149125570126945,0.139063713990777
"AARS2",-0.607427909953455,0.0119321496324164,0.126359912971963
"AARSD1",-0.0290102254673568,0.772136748865924,0.893326732876883
"AASDH",-0.0809357759727001,0.234237498804479,0.529783188781757
"AASDHPPT",0.0407558032447972,0.214457440229903,0.504755467291745
"AASS",0.98471031270176,0.00368197673624162,0.0767408879751134
"AATF",0.241423684653329,0.0103005833794008,0.11894289365291
"AATK",-0.0295527658794395,0.319533413249941,0.625538352487987
"ABAT",0.956819725333632,1.3921399987622e-06,0.00225457072799538
"ABCA1",0.0958070241414708,0.703500055901133,0.852851949661273
"ABCA10",-0.642288599336142,0.011011012094929,0.122599157439333
"ABCA11P",-0.314543631952197,0.0662612250697033,0.287511615886876
"ABCA12",-0.0336503581696457,0.00956913524129953,0.115507188993426
"ABCA13",-0.00814031363277523,0.905647848593693,0.958741209160627
"ABCA17P",-0.0546104761425354,0.110759683977014,0.371633925830333
"ABCA2",-0.0324193412655398,0.876058832948431,0.944244694038065
"ABCA3",0.037011883719422,0.908891699405641,0.960646178618003
"ABCA4",0.197807894006411,0.0108908535246239,0.122130898671402
"ABCA5",-0.0506870745670061,0.81173995833066,0.914811834241711
"ABCA6",0.976065287286002,0.00328201477714178,0.0733134197459463
"ABCA7",-0.350013749305021,0.00799688595428129,0.105007757861826
"ABCA8",0.0560169612944792,0.60427562925686,0.791022434894564
"ABCA9",0.205912697948529,0.539471880318465,0.746996545928681
"ABCB1",-0.330563836826164,0.084462238606569,0.325089060879205
"ABCB10",0.311166636102746,0.00144419531099689,0.0506746221865191
"ABCB4",-0.330707184622971,0.079809425352997,0.315439571346378
"ABCB5",-0.376261248431949,0.136268408717246,0.415439238350417
"ABCB6",-0.0452914944907294,0.833650249835274,0.92519895810055
"ABCB7",-0.195902579018734,0.00128659106701332,0.0478996375408752
"ABCB8",-0.0252947653955826,0.787643720780123,0.902186959628601
"ABCB9",-0.336027492603274,0.00642080089521598,0.095004489571825
"ABCC1",-0.382281474621692,0.0123878932348154,0.128395129447178
"ABCC10",0.0390572950133641,0.765596083131007,0.890134267398624
"ABCC11",0.00552994139522811,0.876288288237508,0.944315548054105
"ABCC12",0.0102660528916491,0.391002218955771,0.632969171284309
"ABCC2",0.0383707152897864,0.47560301937507,0.698153863026488
"ABCC3",0.54255239304357,0.125050610200007,0.397096986703746
"ABCC4",0.495733154103974,0.118086361799365,0.385338705397079
"ABCC5",0.320784182293115,0.0294475062859944,0.191776490781715
"ABCC6",-0.730254573976165,0.00734552182395392,0.101603058863147
"ABCC6P1",-0.205549755909447,0.0035515119788511,0.0755970249693235
"ABCC6P2",-0.349350009411187,0.130733336126706,0.406507464685826
