"F","H","V"
0,0,0
0.005,0.0454146923337941,0.004975
0.01,0.0807931358959112,0.0099
0.015,0.112360710099377,0.014775
0.02,0.141440542541821,0.0196
0.025,0.16866093149667,0.024375
0.03,0.194391857831576,0.0291
0.035,0.218877726539011,0.033775
0.04,0.242292189082415,0.0384
0.045,0.264765033935681,0.042975
0.05,0.286396957115956,0.0475
0.055,0.30726835986076,0.051975
0.06,0.327444919154476,0.0564
0.065,0.346981288100613,0.060775
0.07,0.365923650900223,0.0651
0.075,0.384311544126497,0.069375
0.08,0.402179190202273,0.0736
0.085,0.419556496238547,0.077775
0.09,0.436469817064103,0.0819
0.095,0.452942548187283,0.085975
0.1,0.468995593589281,0.09
0.105,0.484647739731445,0.093975
0.11,0.499915958164528,0.0979
0.115,0.514815653004716,0.101775
0.12,0.529360865287364,0.1056
0.125,0.543564443199596,0.109375
0.13,0.557438185027989,0.1131
0.135,0.57099296007689,0.116775
0.14,0.584238811642856,0.1204
0.145,0.597185045253784,0.123975
0.15,0.6098403047164,0.1275
0.155,0.622212638006313,0.130975
0.16,0.634309554640566,0.1344
0.165,0.646138075864746,0.137775
0.17,0.65770477874422,0.1411
0.175,0.669015835056558,0.144375
0.18,0.68007704572828,0.1476
0.185,0.690893871435041,0.150775
0.19,0.701471459883897,0.1539
0.195,0.71181467021432,0.156975
0.2,0.721928094887362,0.16
0.205,0.731816079376955,0.162975
0.21,0.741482739931274,0.1659
0.215,0.750931979633847,0.168775
0.22,0.760167502961966,0.1716
0.225,0.769192829013014,0.174375
0.23,0.778011303546538,0.1771
0.235,0.786626109970601,0.179775
0.24,0.795040279384522,0.1824
0.245,0.803256699776064,0.184975
0.25,0.811278124459133,0.1875
0.255,0.819107179827683,0.189975
0.26,0.826746372492618,0.1924
0.265,0.834198095860749,0.194775
0.27,0.841464636208176,0.1971
0.275,0.848548178294616,0.199375
0.28,0.855450810560131,0.2016
0.285,0.862174529941225,0.203775
0.29,0.868721246339405,0.2059
0.295,0.875092786771832,0.207975
0.3,0.881290899230693,0.21
0.305,0.887317256275207,0.211975
0.31,0.893173458377857,0.2139
0.315,0.89886103704429,0.215775
0.32,0.904381457724494,0.2176
0.325,0.909736122531166,0.219375
0.33,0.914926372779728,0.2211
0.335,0.91995349136308,0.222775
0.34,0.92481870497303,0.2244
0.345,0.929523186179226,0.225975
0.35,0.934068055375491,0.2275
0.355,0.938454382602564,0.228975
0.36,0.942683189255492,0.2304
0.365,0.946755449683193,0.231775
